Name, Author, Download URL, Attribution url, License Type
cranberries.jpg, PublicDomainPictures, https://pixabay.com/en/backdrop-background-berry-cranberry-22024/, n/a, cc0
dates.jpg, sweyang, https://pixabay.com/en/date-herb-berry-jujube-chinese-1091228/, n/a, cc0
gooseberries.jpg, ruslanababenko, https://pixabay.com/en/gooseberry-leaf-green-berry-2452511/, n/a, cc0
jackfruit.jpg, 4665562, https://pixabay.com/en/jackfruit-tree-african-green-2108869/, n/a, cc0
plum.jpg, congerdesign, https://pixabay.com/en/plums-fruit-ripe-violet-fruits-2724160/, n/a, cc0
olives.jpg, michaelmep, https://pixabay.com/en/olives-market-market-hall-2251260/, n/a, cc0
tamarind.jpg, changephoto, https://pixabay.com/en/tamarind-fruits-food-fresh-natural-636962/, n/a, cc0
passionfruit, not mentioned, https://www.maxpixel.net/Tropical-Fruit-Passion-Fruit-1501212, n/a, cc0


//Tech companies
linkedin.jpg, illustrade, https://pixabay.com/en/linked-in-logo-company-editorial-2668696/, n/a, cc0
apple.jpg, raphaelsilva,https://pixabay.com/en/apple-apple-icon-apple-logo-3384010/, n/a, cc0
google.jpg, WikimediaImages, https://pixabay.com/en/google-favicon-logo-icon-2015-1015752/, n/a, cc0
wordpress.jpg, typographyimages, https://pixabay.com/en/wordpress-wordpress-logo-1810632/, n/a, cco
windows.jpg, raphaelsilva, https://pixabay.com/en/windows-windows-icon-windows-logo-3384024/, n/a, cc0
android.jpg, raphaelsilva, https://pixabay.com/en/android-android-icon-android-logo-3384009/, n/a, cc0
paypal.jpg, raphaelsilva, https://pixabay.com/en/paypal-paypal-icon-paypal-logo-3384015/, n/a, cc0
youtube.jpg, slightly_different, https://pixabay.com/en/youtube-logo-graphic-red-1837872/, n/a, cc0
twitter.jpg, Mizter_x94, https://pixabay.com/en/twitter-social-networks-i-like-it-1848505/, n/a, cc0
spotify.jpg, raphaelsilva, https://pixabay.com/en/spotify-spotify-icon-spotify-logo-3384019/, n/a, cc0
flickr.jpg, raphaelsilva, https://pixabay.com/en/flickr-flickr-icon-flickr-logo-3384012/, n/a, cc0
vimeo.jpg, raphaelsilva, https://pixabay.com/en/vimeo-vimeo-icon-vimeo-logo-3384025/, n/a, cc0
skype.jpg, raphaelsilva, https://pixabay.com/en/skype-skype-icon-skype-logo-3384016/, n/a, cc0
tumblr, raphaelsilva, https://pixabay.com/en/tumblr-tumblr-icon-tumblr-logo-3384021/, n/a, cc0
soundcloud.jpg, raphaelsilva, https://pixabay.com/en/soundcloud-soundcloud-icon-3384018/, n/a, cc0
instagram.jpg, jieun1605, https://pixabay.com/en/instagram-insta-logo-new-images-1675670/, n/a, cc0
bitcoin.jpg, mohamed_hassan, https://pixabay.com/en/cryptocurrency-blockchain-3305671/, n/a, cc0
facebook.jpg, raphaelsilva, https://pixabay.com/en/facebook-face-facebook-icon-3000954/, n/a, cc0
pinterest.jpg, kirstyfields, https://pixabay.com/en/pinterest-icon-symbol-sign-logo-2151052/, n/a, cc0
amazon.jpg, kirstyfields, https://pixabay.com/en/amazon-icon-app-symbol-button-2183855/, n/a, cc0
googleplus.jpg, kirstyfields, https://pixabay.com/en/google-google-plus-gmail-business-2172744/, n/a, cc0
